"age","gender","deaths.x","deaths.y","deaths"
"00-04","female",1,2,1
"05-09","female",3,6,3
"10-14","female",20,16,-4
"15-19","female",8,16,8
"20-24","female",27,31,4
"25-29","female",55,70,15
"30-34","female",172,232,60
"35-39","female",345,428,83
"40-44","female",411,474,63
"45-49","female",531,620,89
"50-54","female",957,1105,148
"55-59","female",1805,2184,379
"60-64","female",2352,2844,492
"65-69","female",3046,3400,354
"70-74","female",5447,6349,902
"75-79","female",7247,7916,669
"80-84","female",10810,11464,654
"85-89","female",13377,14034,657
"90+","female",17947,18838,891
"all-ages","female",0,0,0
"00-04","male",2,6,4
"05-09","male",0,2,2
"10-14","male",5,6,1
"15-19","male",14,25,11
"20-24","male",33,49,16
"25-29","male",73,94,21
"30-34","male",247,310,63
"35-39","male",542,694,152
"40-44","male",620,894,274
"45-49","male",919,1148,229
"50-54","male",2189,2525,336
"55-59","male",3710,4439,729
"60-64","male",4539,5381,842
"65-69","male",5284,5828,544
"70-74","male",8830,9745,915
"75-79","male",11114,12269,1155
"80-84","male",14129,15128,999
"85-89","male",14039,14922,883
"90+","male",12000,12751,751
"all-ages","male",0,0,0
