country,date,age,gender,deaths
Peru,09/03/2021,0-9,Male,118
Peru,09/03/2021,Oct-19,Male,114
Peru,09/03/2021,20-29,Male,452
Peru,09/03/2021,30-39,Male,1433
Peru,09/03/2021,40-49,Male,3896
Peru,09/03/2021,50-59,Male,7991
Peru,09/03/2021,60-69,Male,11398
Peru,09/03/2021,70-79,Male,10171
Peru,09/03/2021,80-89,Male,5898
Peru,09/03/2021,90+,Male,1205
Peru,09/03/2021,0-9,Female,95
Peru,09/03/2021,Oct-19,Female,101
Peru,09/03/2021,20-29,Female,254
Peru,09/03/2021,30-39,Female,702
Peru,09/03/2021,40-49,Female,1629
Peru,09/03/2021,50-59,Female,3407
Peru,09/03/2021,60-69,Female,5794
Peru,09/03/2021,70-79,Female,5375
Peru,09/03/2021,80-89,Female,3606
Peru,09/03/2021,90+,Female,1052