"age","gender","deaths.x","deaths.y","deaths"
"0-9","Male",3,5,2
"10-19","Male",5,6,1
"20-29","Male",43,65,22
"30-39","Male",117,205,88
"40-49","Male",354,579,225
"50-59","Male",1706,2432,726
"60-69","Male",4804,6173,1369
"70-79","Male",10613,12654,2041
"80-89","Male",19296,21527,2231
"90+","Male",6253,6874,621
"0-9","Female",8,11,3
"10-19","Female",2,7,5
"20-29","Female",24,36,12
"30-39","Female",64,100,36
"40-49","Female",175,280,105
"50-59","Female",717,991,274
"60-69","Female",2101,2737,636
"70-79","Female",5948,7230,1282
"80-89","Female",18741,20702,1961
"90+","Female",12124,13120,996
