"age","gender","deaths.x","deaths.y","deaths"
"0-4","Male",3,2,-1
"05-Sep","Male",3,5,2
"Oct-14","Male",7,10,3
"15-19","Male",7,9,2
"20-24","Male",20,27,7
"25-29","Male",34,46,12
"30-34","Male",34,46,12
"35-39","Male",7,10,3
"40-44","Male",7,9,2
"45-49","Male",103,159,56
"50-54","Male",172,250,78
"55-59","Male",182,256,74
"60-64","Male",253,365,112
"65-69","Male",187,273,86
"70-74","Male",182,255,73
"75-79","Male",122,163,41
"80-84","Male",87,111,24
"85+","Male",54,70,16
"0-4","Female",3,4,1
"05-Sep","Female",4,6,2
"Oct-14","Female",3,4,1
"15-19","Female",7,7,0
"20-24","Female",9,16,7
"25-29","Female",19,29,10
"30-34","Female",21,30,9
"35-39","Female",29,48,19
"40-44","Female",28,37,9
"45-49","Female",41,59,18
"50-54","Female",69,90,21
"55-59","Female",73,99,26
"60-64","Female",73,101,28
"65-69","Female",61,93,32
"70-74","Female",46,60,14
"75-79","Female",42,57,15
"80-84","Female",41,52,11
"85+","Female",32,39,7
